6.65797;1.78102
6.66454;1.7795
6.66048;1.78165
6.66717;1.77842
6.6583;1.78061
6.66992;1.78159
6.66151;1.78088
6.65682;1.78182
6.66589;1.78002
6.66856;1.78048
6.65952;1.7788
6.65899;1.78034
6.65734;1.78078
6.66588;1.78036
6.6571;1.78094
6.65662;1.78132
6.66341;1.77924
6.65942;1.78149
6.66725;1.77927
6.65753;1.78091
6.66752;1.78042
6.65789;1.78014
6.66702;1.77848
6.65785;1.78129
6.66588;1.77946
6.67492;1.78144
6.65447;1.77899
6.65714;1.7816
6.66125;1.78009
6.6583;1.78112
6.6593;1.88269
6.65414;1.77934
6.66141;1.78098
6.66281;1.88292
6.65432;1.77975
6.66421;1.78111
6.66085;1.78137
6.65584;1.77928
6.65713;1.8619
6.65884;1.78182
6.66269;1.7797
6.65779;1.78087
6.65419;1.78079
6.66735;1.7814
6.66872;1.77899
6.65658;1.78103
6.65424;1.77944
6.66441;1.78162
6.65396;1.77961
6.65653;1.78143
